rest_id,rest_name,rest_address,rest_type,rest_latitude,rest_longitude,rest_distance,rest_tel,rest_ontime,rest_offtime,rest_naver
35133,오대양횟집,광주광역시 동구 동계천로 79,일식,35.15277978,126.9200352,301,062-234-1110,,,
35138,3.6식당,광주광역시 동구 동명로 11,한식,35.15028034,126.9228718,283,010-5915-7173,매일 11:00~01:00,,
40745,고려조삼계탕,광주광역시 동구 금남로 231,한식,35.14916379,126.9177561,234,062-224-2526,매일 09:30~21:30,,4.43
40763,해안식당,광주광역시 동구 제봉로98번길 11-19,한식,35.14817076,126.9222482,310,010-7345-3392,매일 11:00~22:00,,4.5
76792,홍도,광주광역시 동구 동계천로 64,일식,35.15354716,126.9184924,394,062-222-8684,,,4.24
76793,본전소머리국밥,광주광역시 동구 동계천로 52-1,한식,35.15422485,126.9176385,498,062-227-5955,,,
88400,맛집한겨레,광주광역시 동구 중앙로196번길 11,한식,35.14998587,126.9171407,236,062-222-0132,매일 11:00~21:00,일요일,4.43
100771,열도지,광주광역시 동구 제봉로82번길 17,중식,35.14706714,126.923119,449,062-227-5888,,수요일,4.47
100773,동부식당,광주광역시 동구 제봉로82번길 3-1,한식,35.14615841,126.9221596,485,062-224-5682,매일 11:00~21:00,,4.28
114308,청진동해장국,광주광역시 동구 구성로194번길 17,한식,35.15199701,126.9154897,444,062-229-0641,매일 11:30~21:00,,4.29
130064,잘먹었습니다,광주광역시 동구 구성로194번길 21,양식,35.15174486,126.9158109,410,062-410-9015,매일 11:30~20:00,일요일,4.59
130081,굴마을,광주광역시 동구 제봉로82번길 3,한식,35.14609086,126.9222337,495,062-266-9119,매일 09:00~21:00,일요일,4.17
130108,구수향,광주광역시 동구 예술길 23-6,식육,35.14996914,126.9190639,64,062-266-7200,매일 11:30~21:00,일요일,4.35
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,한식,35.14720644,126.9224659,405,062-233-5752,매일 08:00~22:00,,4.36
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,한식,35.14966,126.9184332,134,062-222-1215,매일 11:30~23:00,,4.52
171854,고봉민김밥인,광주광역시 동구 중앙로196번길 31-17,분식,35.14911283,126.9190428,123,062-222-7897,매일 08:00~21:00,,4.36
212742,이삭토스트,광주광역시 동구 중앙로196번길 29,패스트푸드,1.48975E+13,126.9184449,163,062-222-8081,매일 09:00~18:30,일요일,4.58
212751,수라상,광주광역시 동구 제봉로82번길 13-9,한식,35.14689328,126.9225677,437,062-234-2002,매일 11:00~21:00,일요일,4.42
232392,삼진식육식당,광주광역시 동구 동계천로 68,식육,35.15331747,126.9187259,370,062-227-3800,,,4.43
232403,엄마주방,광주광역시 동구 중앙로196번길 29,한식,35.14895025,126.9185409,163,062-222-0488,매일 11:00~20:30,일요일,3.98
252044,일흥식당,광주광역시 동구 제봉로98번길 6,한식,35.14711638,126.9225812,419,062-222-0038,매일 12:00~21:00,,4.52
252050,영성원,광주광역시 동구 제봉로82번길 13-7,중식,35.14680087,126.9225266,441,062-227-2887,매일 11:00~19:00,,4.15
272893,마한지,광주광역시 동구 문화전당로 37-2,한식,35.14602321,126.9187331,478,062-234-9261,매일 11:30~22:00,,4.42
294183,말리화반점,광주광역시 동구 제봉로82번길 13-5,중식,35.14678968,126.9226501,446,062-223-9979,매일 11:00~21:00,월요일,4.4
294237,양촌추어탕,광주광역시 동구 예술길 31-13,한식,35.14970599,126.9198077,44,062-222-0534,매일 09:00~20:00,토요일,4.69
317292,화랑궁회관,광주광역시 동구 구성로204번길 23,한식,35.15204507,126.9165514,366,062-224-1800,매일 11:00~21:30,,4.22
371594,산수모밀,광주광역시 동구 중앙로196번길 32,일식,35.14874966,126.918489,192,062-233-5525,매일 10:00~21:00,,4.11
371615,신신식당,광주광역시 동구 중앙로196번길 18-1,한식,35.1495016,126.9174512,228,062-236-2252,매일 09:00~22:00,일요일,4.54
402442,인천닭곰탕,광주광역시 동구 동계천로 81-1,한식,35.152746,126.9200709,302,062-223-6945,,,4.11
434639,임실댁 가마솥 추어탕,광주광역시 동구 제봉로158번길 13,한식,35.15229547,126.9203018,260,062-224-5211,,,4.51
434702,진진설곰탕,광주광역시 동구 제봉로 183,한식,35.15266952,126.9169212,383,062-228-8838,,,4.1
472224,박순자 녹두집,광주광역시 동구 구성로204번길 26,한식,35.15185118,126.9164144,368,062-223-8694,매일 11:30~22:00,월요일,4.43
472279,강황울금국밥,광주광역시 동구 예술길 19-7,한식,35.15038351,126.9186849,105,062-233-8778,매일 09:00~22:00,일요일,4
472307,좋은국밥,광주광역시 동구 중앙로196번길 25,한식,35.14920022,126.9182992,169,062-234-4543,매일 11:00~02:00,,4.56
472319,시안,광주광역시 동구 구성로204번길 14,중식,35.15263708,126.9156262,479,062-233-3698,매일 09:00~20:00,일요일,4.47
548017,고기집중,광주광역시 동구 충장로 101-23,식육,35.14781182,126.9178507,308,062-223-4670,매일 17:00~00:00,월요일,4.42
551033,역전우동0410,광주광역시 동구 충장로 102-2,일식,35.14713356,126.9178761,375,062-232-4989,매일 11:00~22:00,,4.36
551051,대접,광주광역시 동구 서석로85번길 8-7,한식,35.15006685,126.9202957,46,062-651-9998,매일 11:30~20:00,일요일,4.48
570011,별채,광주광역시 동구 동명로 24,한식,35.15116654,126.9238367,384,062-222-0087,매일 12:00~20:30,토요일,4.09
587540,고피자,광주광역시 동구 중앙로196번길 31,양식,35.14883086,126.9186041,181,062-223-3337,매일 10:00~22:00,,4.56
589428,시바카레,광주광역시 동구 장동로 11,일식,35.14887236,126.9234986,360,070-8864-1818,매일 11:30~21:00,수요일,4.42
593167,1966생면파스타,광주광역시 동구 동명로26번길 3,양식,35.15130865,126.9240752,405,062-229-5056,매일 12:00~20:30,월요일,4.25
622808,청춘덮밥,광주광역시 동구 충장로 77-6,일식,35.14859038,126.9162202,367,062-236-6654,매일 11:30~21:00,,4.27
625986,호시마츠라멘,광주광역시 동구 제봉로110번길 15,일식,35.14899849,126.9234025,349,010-3435-4529,매일 11:30~22:00,,4.5
633396,밥도둑,광주광역시 동구 제봉로82번길 13,한식,35.14670192,126.9228395,466,062-226-7635,,,4.4
674917,신묘한 곱도리식당,광주광역시 동구 서석로 34-3,한식,35.14593906,126.9175919,497,062-223-9239,매일 00:00~24:00,,4.35
690480,돈부리바쇼 유메노덴,광주광역시 동구 동명로20번길 16,일식,35.15044626,126.9251433,493,070-7529-0979,매일 11:30~21:30,,4.52
703790,손수김밥,광주광역시 동구 예술길 34,분식,35.14909499,126.9193227,120,062-236-1002,,,4.39
705385,시골집,광주광역시 동구 제봉로110번길 21,한식,35.14937736,126.9238822,381,070-8860-7897,,,4.55
715737,서울깍두기,광주광역시 동구 서석로 41-1,한식,35.14670101,126.9180274,405,062-233-2123,매일 00:00~24:00,,4.51
723663,통큰경양식,광주광역시 동구 금남로 246,분식,35.14787289,126.9181853,275,062-224-8745,매일 11:00~21:00,,4.54
742604,칠우불고기,광주광역시 동구 제봉로 194,식육,35.15342396,126.9162784,486,062-227-1011,매일 11:30~22:30,수요일,4.39
759638,롯데리아,광주광역시 동구 충장로 77-7,패스트푸드,35.14877958,126.9160938,366,062-227-2266,매일 09:00~24:00,,4.37
796823,전부,광주광역시 동구 동명로20번길 6,일식,35.15062802,126.923914,377,062-446-8844,매일 12:00~22:00,화요일,4.68
797572,고향청국장,광주광역시 동구 중앙로 224-1,한식,35.1522176,126.9184087,266,062-226-4958,매일 10:00~21:30,일요일,4.48
800752,궁동시골밥상,광주광역시 동구 중앙로 216,한식,35.15175962,126.917619,261,062-225-3232,매일 11:00~19:00,일요일,4.64
801173,마네키,광주광역시 동구 동계천로 132,일식,35.14946969,126.9237752,370,062-227-9085,매일 10:30~20:00,일요일,4.59
801542,하동정,광주광역시 동구 중앙로196번길 19,한식,35.14954684,126.9177035,199,062-222-3247,매일 10:00~22:00,,4.31
832711,소복,광주광역시 동구 장동로 19,일식,35.14844679,126.9240148,421,010-8247-0647,매일 11:30~21:30,,4.38
845019,솔밭솥밥,광주광역시 동구 동명로 9-5,한식,35.15032523,126.9226001,256,070-8844-2998,매일 11:30~21:00,,4.5
855479,뼈대있는집 감자탕,광주광역시 동구 충장로 97-2,한식,35.14753685,126.9177714,341,062-222-6787,매일 09:00~01:00,,4.3
857451,피자헛,광주광역시 동구 중앙로 218,양식,35.15182735,126.9178028,271,062-225-3414,매일 11:00~23:00,,4.35
