식당ID,식당명,도로명주소,지번주소,식당위도,식당경도,식당전화번호,식당업태,영업인허가명,음식점소개내용
8250,예원,광주광역시 동구 지호로 214-7,광주광역시 동구 지산동 20-8,35.1539,126.9429,062-226-3889,중국식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""예원""을 추천합니다!"
8252,신락원(광주본점),광주광역시 동구 충장로 45-5,광주광역시 동구 충장로5가 42,35.1506,126.9133,062-223-6849,중국식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""신락원(광주본점)""에 방문해보세요. 금남로4가역 근처에 있습니다. 이 매장은 2021년에 블루리본 서베이에서 리본 1개를 받은 식당으로, ""시간을 내어 다시 방문하고 싶은 곳""이라 평가받았습니다."
8253,동해바다,광주광역시 동구 충장로46번길 6-1,광주광역시 동구 충장로5가 66,35.1501,126.9128,062-224-4844,일식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""동해바다""에 방문해보세요. 금남로4가역 근처에 있습니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
8254,이조해장국,광주광역시 동구 중앙로160번길 18-2,광주광역시 동구 황금동 102-3,35.1471,126.9149,062-234-6729,한식,일반음식점,"""이조해장국""은 광주광역시 동구에 있습니다."
10003,로얄오리탕,광주광역시 동구 동계천로53번길 1-2,광주광역시 동구 계림동 428,35.1545,126.9179,062-223-8612,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""로얄오리탕""에 방문해보세요. 금남로4가역 근처에 있습니다."
10005,새반도정,광주광역시 동구 독립로264번길 26-1,광주광역시 동구 금남로5가 86-2,35.1532,126.9135,062-223-9489,한식,일반음식점,"""새반도정""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
10006,보람식당,광주광역시 동구 제봉로194번길 5-8,광주광역시 동구 대인동 310-5,35.1541,126.9162,062-227-8669,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""보람식당""을 추천합니다!"
10007,막동이회관,광주광역시 동구 남문로 614,광주광역시 동구 소태동 601-2,35.1257,126.9319,062-222-0840,한식,일반음식점,"""막동이회관""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 소태역입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
10008,물레방아보리밥,광주광역시 동구 지호로 137-1,광주광역시 동구 지산동 76-5,35.1495,126.9436,062-222-6879,한식,일반음식점,"광주광역시 동구에서 식당을 찾으신다면? ""물레방아보리밥""을 방문해보세요!"
10009,팔도강산,광주광역시 동구 지호로127번길 10-7,광주광역시 동구 지산동 80-1,35.1499,126.9436,062-222-3682,한식,일반음식점,"2019년 10월 01일 KBS1 6시내고향 6872회, 2015년 11월 23일 KBS2 2TV아침 233회, 2015년 06월 18일 KBS2 2TV아침 121회 등 여러 방송에서 다룬 바로 그 곳! 광주광역시 동구 인기 맛집 ""팔도강산""을 방문해보세요!"
11700,송림원엄마손고등어,광주광역시 동구 중앙로196번길 13,광주광역시 동구 궁동 56-3,35.1499,126.9174,062-222-6414,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""송림원엄마손고등어""를 추천합니다!"
11701,코보네자연산회쎈타,광주광역시 동구 백서로 117,광주광역시 동구 금동 216-4,35.1418,126.9183,062-227-9244,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""코보네자연산회쎈타""를 추천합니다!"
11702,낙지한마당,광주광역시 동구 예술길 36,광주광역시 동구 대의동 69-3,35.149,126.9194,062-228-8022,한식,일반음식점,"""낙지한마당""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 문화전당역(구도청)입니다."
11703,청해식당,광주광역시 동구 구성로204번길 26-1,광주광역시 동구 대인동 154-2,35.1517,126.9165,062-226-2889,한식,일반음식점,"""청해식당""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로4가역입니다."
11705,양만휘해물생합칼국수(본점),광주광역시 동구 지호로160번길 9,광주광역시 동구 지산동 116-7,35.149,126.946,062-222-7977,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""양만휘해물생합칼국수(본점)""를 추천합니다."
11706,영빈식당,광주광역시 동구 지호로 137-3,광주광역시 동구 지산동 76-3,35.1495,126.9437,062-227-5011,한식,일반음식점,"""영빈식당""을 광주광역시 동구의 가 볼 만한 식당으로 추천합니다!"
11707,김밥천국(충장점),광주광역시 동구 충장로 94-9,광주광역시 동구 충장로1가 32,35.1473,126.9172,062-223-7009,한식,일반음식점,"광주광역시 동구에서 식당을 찾으신다면? ""김밥천국(충장점)""을 방문해보세요!"
11708,금강해물탕,광주광역시 동구 중앙로 149-6,광주광역시 동구 호남동 32-22,35.1481,126.9124,062-225-5289,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""금강해물탕""에 방문해보세요. 금남로4가역 근처에 있습니다."
13656,아리랑하우스,광주광역시 동구 무등로321번길 2,광주광역시 동구 계림동 559-1,35.1621,126.9185,062-529-2888,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""아리랑하우스""를 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
13657,종가집,광주광역시 동구 중앙로196번길 15-35,광주광역시 동구 궁동 61-4,35.1504,126.918,062-227-6116,한식,일반음식점,"""종가집""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로4가역입니다."
13658,풍성한식당,광주광역시 동구 구성로194번길 5,광주광역시 동구 대인동 100-1,35.1527,126.9146,062-232-9295,한식,일반음식점,"광주광역시 동구에 가신다면 ""풍성한식당""에 방문해보세요~"
13659,소문난튀김전문,광주광역시 동구 중앙로 238-1,광주광역시 동구 동명동 240-1,35.1532,126.9195,062-222-1294,일식,일반음식점,"""소문난튀김전문""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
13660,오복식당,광주광역시 동구 필문대로187번길 1-14,광주광역시 동구 산수동 523-15,35.1545,126.9329,062-223-1579,한식,일반음식점,"광주광역시 동구에 방문하신다면, ""오복식당""에 가보시는 것은 어떨까요? 2011년 12월 09일 KBS2 VJ특공대 595회에 방영되었을 만큼 소문난 매장이랍니다!"
13661,청실홍실,광주광역시 동구 지호로 158,광주광역시 동구 지산동 68,35.1494,126.9456,062-227-4022,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 광주광역시 동구에 계시다면 ""청실홍실""을 추천합니다!"
13662,팔도가든,,광주광역시 동구 지산동 산46-3,35.1501,126.9445,062-227-0111,한식,일반음식점,"""팔도가든""은 광주광역시 동구에 있습니다."
13663,월계수식당,광주광역시 동구 충장로 102-11,광주광역시 동구 충장로1가 24,35.1468,126.9175,062-222-3231,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""월계수식당""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
13664,유생촌(본점),광주광역시 동구 충장로안길 22,광주광역시 동구 황금동 23-3,35.1478,126.9156,062-222-5200,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""유생촌(본점)""에 방문해보세요. 금남로4가역 근처에 있습니다."
15890,명성식당,광주광역시 동구 중앙로 261-1,광주광역시 동구 계림동 254-3,35.1551,126.9204,062-224-7871,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""명성식당""을 추천합니다."
15891,어시장,광주광역시 동구 구성로194번길 2,광주광역시 동구 금남로5가 186,35.1528,126.914,062-228-8606,한식,일반음식점,"""어시장""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
15892,해뜨는집(본점),광주광역시 동구 중앙로196번길 35,광주광역시 동구 대의동 73,35.1485,126.9191,062-228-9233,한식,일반음식점,"""해뜨는집(본점)""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다."
15893,숙이네맛집,광주광역시 동구 금남로 193-24,광주광역시 동구 금남로4가 1-3,35.1518,126.9151,062-224-0749,한식,일반음식점,"""숙이네맛집""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
15894,가족회관,광주광역시 동구 동명로 50,광주광역시 동구 동명동 159-15,35.1513,126.926,062-222-3845,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? ""가족회관""을 추천합니다!"
15895,필로소피아,광주광역시 동구 지호로160번길 9,광주광역시 동구 지산동 116-7,35.149,126.946,062-222-3400,한식,일반음식점,"""필로소피아""를 광주광역시 동구의 가 볼 만한 식당으로 추천합니다!"
15896,무등산보리밥뷔페,광주광역시 동구 지호로 152,광주광역시 동구 지산동 70-1,35.1493,126.9452,062-232-9116,한식,일반음식점,"광주광역시 동구에 방문하신다면, ""무등산보리밥뷔페""에 가보시는 것은 어떨까요? 2017년 09월 15일 MBC 생방송오늘저녁 683회에 방영되었을 만큼 소문난 매장이랍니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
15897,보광옥,광주광역시 동구 충장로46번길 16,광주광역시 동구 충장로5가 69-1,35.1496,126.9121,062-224-5790,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""보광옥""을 추천합니다!"
15898,별장,광주광역시 동구 무등로 301,광주광역시 동구 계림동 828,35.1627,126.9161,06-251-2010,한식,일반음식점,"광주광역시 동구에서 식당을 찾으신다면? ""별장""을 방문해보세요!"
18149,미라클,광주광역시 동구 중앙로 194,광주광역시 동구 금남로3가 1-34,35.1504,126.916,062-232-5122,한식,일반음식점,"광주광역시 동구에 가신다면 ""미라클""에 방문해보세요~"
18150,한미정,광주광역시 동구 금남로 162-10,광주광역시 동구 금남로5가 59,35.1526,126.9104,062-227-1176,한식,일반음식점,"""한미정""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로5가역입니다."
18151,풍남옥(본점),광주광역시 동구 예술길 38-1,광주광역시 동구 대의동 67,35.1487,126.9196,062-234-9888,한식,일반음식점,"""풍남옥(본점)""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다."
18152,황소회관,광주광역시 동구 백서로153번길 2,광주광역시 동구 서석동 126-3,35.1433,126.9221,062-232-2827,한식,일반음식점,"""황소회관""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다."
18153,동해회관,광주광역시 동구 양림로 119,광주광역시 동구 학동 74-21,35.1401,126.921,062-224-5511,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""동해회관""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
20566,부길추어탕전문,광주광역시 동구 구성로194번길 25,광주광역시 동구 대인동 133-1,35.1515,126.9162,062-227-4530,일식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""부길추어탕전문""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
20567,인촌,광주광역시 동구 구성로194번길 20-1,광주광역시 동구 금남로4가 41-3,35.1517,126.9156,062-234-3389,한식,일반음식점,"2019년 12월 19일 MBC 생방송오늘저녁 1218회 등 많은 방송에 등장한 바로 그 곳! 광주광역시 동구에 가시면 소문난 맛집 ""인촌""을 방문해보세요!"
20568,동진식육식당,광주광역시 동구 서석로10번길 10-1,광주광역시 동구 불로동 186-3,35.1443,126.9154,062-224-7211,한식,일반음식점,"""동진식육식당""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다."
20569,광주보쌈,광주광역시 동구 서석로 29-5,광주광역시 동구 황금동 86-4,35.1462,126.9166,062-232-6118,한식,일반음식점,"2019년 05월 20일 SBS 생활의달인 671회 등 많은 방송에 등장한 바로 그 곳! 광주광역시 동구에 가시면 소문난 맛집 ""광주보쌈""을 방문해보세요!"
20570,삼호정,광주광역시 동구 무등로307번길 7-1,광주광역시 동구 계림동 791,35.163,126.9171,062-511-3535,한식,일반음식점,"""삼호정""을 광주광역시 동구의 가 볼 만한 식당으로 추천합니다!"
23211,계림동나주곰탕,광주광역시 동구 구성로 262-9,광주광역시 동구 계림동 294-16,35.1572,126.9194,062-225-0970,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? ""계림동나주곰탕""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
23212,남원추어탕,광주광역시 동구 무등로307번길 13,광주광역시 동구 계림동 544-2,35.1635,126.9174,062-526-8245,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""남원추어탕""을 추천합니다!"
23213,일등회관,광주광역시 동구 무등로307번길 11,광주광역시 동구 계림동 544-5,35.1632,126.9173,062-524-5694,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""일등회관""을 추천합니다!"
23214,금향갈비,광주광역시 동구 중앙로272번길 4,광주광역시 동구 계림동 236-7,35.1558,126.9211,062-224-1214,한식,일반음식점,"광주광역시 동구에서 어디를 갈지 고민이라면! ""금향갈비""에 가보시는 건 어떨까요?"
23215,대운정,광주광역시 동구 중앙로 264,광주광역시 동구 계림동 253-31,35.1552,126.9209,062-224-7722,한식,일반음식점,"""대운정""을 광주광역시 동구의 가 볼 만한 식당으로 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
23216,cafe oma(카페 오마),광주광역시 동구 서석로 85,광주광역시 동구 대의동 36-1,35.1495,126.9208,062-234-4838,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""cafe oma(카페 오마)""을 추천합니다."
23218,한강식당,광주광역시 동구 백서로175번길 20-5,광주광역시 동구 서석동 91-17,35.1451,126.9225,062-225-1462,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""한강식당""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
23219,보해식육식당,광주광역시 동구 필문대로289번길 14,광주광역시 동구 지산동 517-21,35.1464,126.9282,062-236-3515,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""보해식육식당""을 추천합니다."
23220,홍능갈비,광주광역시 동구 충장로 101-21,광주광역시 동구 충장로1가 1-6,35.1478,126.9179,062-222-1421,한식,일반음식점,"""홍능갈비""는 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다."
23221,우다찻집,광주광역시 동구 제봉로 9-1,광주광역시 동구 학동 55-110,35.1395,126.9219,062-223-2929,일식,일반음식점,"""우다찻집""을 광주광역시 동구의 가 볼 만한 식당으로 추천합니다!"
26144,조양식육식당,광주광역시 동구 제봉로200번길 1-4,광주광역시 동구 대인동 311-7,35.1542,126.916,062-226-7676,한식,일반음식점,"""조양식육식당""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
26145,새광주회관,광주광역시 동구 동명로 48,광주광역시 동구 동명동 159-12,35.1513,126.9257,062-223-1777,한식,일반음식점,"""새광주회관""은 광주광역시 동구에 있습니다."
26146,충장빈대떡집,광주광역시 동구 필문대로 161,광주광역시 동구 산수동 539-43,35.1563,126.9319,062-263-8771,한식,일반음식점,"광주광역시 동구에서 어디를 갈지 고민이라면! ""충장빈대떡집""에 가보시는 건 어떨까요?"
26147,종점그산장,광주광역시 동구 선교로 194,광주광역시 동구 용연동 449-1,35.0979,126.9638,062-266-6210,한식,일반음식점,"광주광역시 동구에 가신다면 ""종점그산장""에 방문해보세요~"
26148,계곡산장,광주광역시 동구 선교로 208,광주광역시 동구 용연동 455-1,35.0991,126.9642,062-234-4436,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 광주광역시 동구에 계시다면 ""계곡산장""을 추천합니다!"
26150,518낙지전문점,광주광역시 동구 제봉로 21,광주광역시 동구 학동 65-8,35.1407,126.9216,062-224-7150,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 문화전당역(구도청) 근처에 있는 ""518낙지전문점""을 추천합니다!"
26152,태홍회관,광주광역시 동구 무등로 302,광주광역시 동구 계림동 834,35.1622,126.916,062-512-7116,한식,일반음식점,"광주광역시 동구에서 어디를 갈지 고민이라면! ""태홍회관""에 가보시는 건 어떨까요?"
30061,황보식당,광주광역시 동구 구성로238번길 10-1,광주광역시 동구 계림동 460-6,35.1552,126.9181,062-234-9577,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""황보식당""을 추천합니다!"
30062,부흥중화요리,광주광역시 동구 구성로 244,광주광역시 동구 계림동 465-26,35.1562,126.9178,062-224-1071,중국식,일반음식점,"""부흥중화요리""는 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
30063,민속촌,광주광역시 동구 문화전당로 37-2,광주광역시 동구 광산동 69,35.1459,126.9187,062-224-4577,한식,일반음식점,"""민속촌""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
30064,정원 계절음식,광주광역시 동구 백서로125번길 3,광주광역시 동구 금동 192-5,35.1422,126.9188,062-226-2313,일식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""정원 계절음식""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
30065,두레식당,광주광역시 동구 구성로194번길 21-1,광주광역시 동구 대인동 130,35.1517,126.9159,062-225-7510,일식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""두레식당""을 추천합니다!"
30066,원조장수,광주광역시 동구 동계천로 12-1,광주광역시 동구 대인동 319-6,35.1562,126.914,062-225-9612,한식,일반음식점,"""원조장수""는 광주광역시 동구에 있습니다."
30069,대영회관,광주광역시 동구 지원로12번길 5,광주광역시 동구 소태동 643-7,35.1235,126.9339,062-232-1267,한식,일반음식점,"""대영회관""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 소태역입니다."
30070,화풍,광주광역시 동구 의재로 130,광주광역시 동구 운림동 640-1,35.1319,126.9419,062-223-5540,중국식,일반음식점,"무엇을 먹을지 고민되신다고요? 광주광역시 동구에 계시다면 ""화풍""을 추천합니다!"
30072,향로정,광주광역시 동구 지호로160번길 11,광주광역시 동구 지산동 116-7,35.1489,126.9458,062-222-7653,한식,일반음식점,"광주광역시 동구에서 식당을 찾으신다면? ""향로정""을 방문해보세요!"
30073,청풍명월,광주광역시 동구 지호로160번길 17,광주광역시 동구 지산동 116-2,35.1486,126.9453,062-225-4272,한식,일반음식점,"""청풍명월""은 광주광역시 동구에 있습니다."
30074,청사초롱,광주광역시 동구 지호로 158,광주광역시 동구 지산동 68,35.1494,126.9456,062-232-5691,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? ""청사초롱""을 추천합니다!"
30075,동백정,,광주광역시 동구 지산동 산116-1,35.1434,126.9402,062-363-7645,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 광주광역시 동구에 계시다면 ""동백정""을 추천합니다!"
